"No,";Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay;;Delay 1;Delay 2 ;Jitter
20;"0,527809";;"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 14#1] 56800  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"0,527809";"0,546921";;"0,019112";;"0,018922";"0,00019";"-0,018732"
21;"0,546921";;"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56800 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"0,546921";"0,547111";;"0,00019";;"-0,000504";"0,000694";"0,001198"
22;"0,547111";;"192,168,100,98";"104,22,1,235";TCP;54;56800  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"0,547111";"0,547805";;"0,000694";;"-0,044789";"0,045483";"0,090272"
23;"0,547805";;"192,168,100,98";"104,22,1,235";TCP;54;"56800  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"0,547805";"0,593288";;"0,045483";;"0,036702";"0,008781";"-0,027921"
24;"0,593288";;"192,168,100,98";"104,22,1,235";TCP;66;56801  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"0,593288";"0,602069";;"0,008781";;"-0,04937";"0,058151";"0,107521"
25;"0,602069";;"104,22,1,235";"192,168,100,98";TCP;56;443  >  56800 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"0,602069";"0,66022";;"0,058151";;"0,05793";"0,000221";"-0,057709"
27;"0,66022";;"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56801 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"0,66022";"0,660441";;"0,000221";;"-0,000778";"0,000999";"0,001777"
28;"0,660441";;"192,168,100,98";"104,22,1,235";TCP;54;56801  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"0,660441";"0,66144";;"0,000999";;"-0,05824";"0,059239";"0,117479"
29;"0,66144";;"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"0,66144";"0,720679";;"0,059239";;"0,043574";"0,015665";"-0,027909"
30;"0,720679";;"104,22,1,235";"192,168,100,98";TCP;54;443  >  56801 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"0,720679";"0,736344";;"0,015665";;"0,014533";"0,001132";"-0,013401"
31;"0,736344";;"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"0,736344";"0,737476";;"0,001132";;"-0,058263";"0,059395";"0,117658"
32;"0,737476";;"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"0,737476";"0,796871";;"0,059395";;"0,059319";"7,6E-05";"-0,059243"
33;"0,796871";;"104,22,1,235";"192,168,100,98";TCP;56;443  >  56801 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"0,796871";"0,796947";;"7,6E-05";;"-0,059088";"0,059164";"0,118252"
34;"0,796947";;"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"0,796947";"0,856111";;"0,059164";;"-0,006415";"0,065579";"0,071994"
35;"0,856111";;"104,22,1,235";"192,168,100,98";TCP;56;443  >  56801 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"0,856111";"0,92169";;"0,065579";;"0,001597";"0,063982";"0,062385"
37;"0,92169";;"192,168,100,98";"104,22,1,235";TCP;54;"[TCP Retransmission] 56799  >  443 [FIN, ACK] Seq=1 Ack=2 Win=510 Len=0";;;"0,92169";"0,985672";;"0,063982";;"-0,053432";"0,117414";"0,170846"
38;"0,985672";;"104,22,1,235";"192,168,100,98";TCP;56;443  >  56799 [ACK] Seq=2 Ack=2 Win=67 Len=0;;;"0,985672";"1,103086";;"0,117414";;"0,117304";"0,00011";"-0,117194"
39;1.103.086;"1,103086";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56801 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"1,103086";"1,103196";;"0,00011";;"-0,01325";"0,01336";"0,02661"
40;1.103.196;"1,103196";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 32#1] 56801  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"1,103196";"1,116556";;"0,01336";;"0,013159";"0,000201";"-0,012958"
41;1.116.556;"1,116556";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56801 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"1,116556";"1,116757";;"0,000201";;"-0,000598";"0,000799";"0,001397"
42;1.116.757;"1,116757";"192,168,100,98";"104,22,1,235";TCP;54;56801  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"1,116757";"1,117556";;"0,000799";;"-0,062142";"0,062941";"0,125083"
43;1.117.556;"1,117556";"192,168,100,98";"104,22,1,235";TCP;54;"56801  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"1,117556";"1,180497";;"0,062941";;"0,059216";"0,003725";"-0,055491"
45;1.180.497;"1,180497";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56801 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"1,180497";"1,184222";;"0,003725";;"-0,076617";"0,080342";"0,156959"
46;1.184.222;"1,184222";"192,168,100,98";"104,22,1,235";TCP;66;56802  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"1,184222";"1,264564";;"0,080342";;"0,080105";"0,000237";"-0,079868"
47;1.264.564;"1,264564";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56802 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"1,264564";"1,264801";;"0,000237";;"-0,00071";"0,000947";"0,001657"
48;1.264.801;"1,264801";"192,168,100,98";"104,22,1,235";TCP;54;56802  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"1,264801";"1,265748";;"0,000947";;"-0,089351";"0,090298";"0,179649"
49;1.265.748;"1,265748";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"1,265748";"1,356046";;"0,090298";;"0,067216";"0,023082";"-0,044134"
50;1.356.046;"1,356046";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56802 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"1,356046";"1,379128";;"0,023082";;"0,020915";"0,002167";"-0,018748"
51;1.379.128;"1,379128";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"1,379128";"1,381295";;"0,002167";;"-0,067582";"0,069749";"0,137331"
52;1.381.295;"1,381295";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"1,381295";"1,451044";;"0,069749";;"0,069643";"0,000106";"-0,069537"
54;1.451.044;"1,451044";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56802 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"1,451044";"1,451150";;"0,000106";;"-0,059281";"0,059387";"0,118668"
55;1.451.150;"1,451150";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"1,451150";"1,510537";;"0,059387";;"-0,170964";"0,230351";"0,401315"
56;1.510.537;"1,510537";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56802 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"1,510537";"1,740888";;"0,230351";;"0,230229";"0,000122";"-0,230107"
58;1.740.888;"1,740888";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56802 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"1,740888";"1,741010";;"0,000122";;"-0,015518";"0,01564";"0,031158"
59;1.741.010;"1,741010";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 52#1] 56802  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"1,741010";"1,756650";;"0,01564";;"0,015436";"0,000204";"-0,015232"
60;1.756.650;"1,756650";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56802 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"1,756650";"1,756854";;"0,000204";;"-0,000565";"0,000769";"0,001334"
61;1.756.854;"1,756854";"192,168,100,98";"104,22,1,235";TCP;54;56802  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"1,756854";"1,757623";;"0,000769";;"-0,051848";"0,052617";"0,104465"
62;1.757.623;"1,757623";"192,168,100,98";"104,22,1,235";TCP;54;"56802  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"1,757623";"1,810240";;"0,052617";;"0,006968";"0,045649";"0,038681"
63;1.810.240;"1,810240";"192,168,100,98";"104,22,1,235";TCP;66;56803  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"1,810240";"1,855889";;"0,045649";;"-0,009523";"0,055172";"0,064695"
64;1.855.889;"1,855889";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56802 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"1,855889";"1,911061";;"0,055172";;"0,054929";"0,000243";"-0,054686"
65;1.911.061;"1,911061";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56803 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"1,911061";"1,911304";;"0,000243";;"-0,000749";"0,000992";"0,001741"
66;1.911.304;"1,911304";"192,168,100,98";"104,22,1,235";TCP;54;56803  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"1,911304";"1,912296";;"0,000992";;"-0,106283";"0,107275";"0,213558"
67;1.912.296;"1,912296";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"1,912296";"2,019571";;"0,107275";;"0,097362";"0,009913";"-0,087449"
69;2.019.571;"2,019571";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56803 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"2,019571";"2,029484";;"0,009913";;"0,007976";"0,001937";"-0,006039"
70;2.029.484;"2,029484";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"2,029484";"2,031421";;"0,001937";;"-0,102792";"0,104729";"0,207521"
72;2.031.421;"2,031421";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"2,031421";"2,136150";;"0,104729";;"0,104628";"0,000101";"-0,104527"
73;2.136.150;"2,136150";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56803 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"2,136150";"2,136251";;"0,000101";;"-0,081573";"0,081674";"0,163247"
74;2.136.251;"2,136251";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"2,136251";"2,217925";;"0,081674";;"-0,127147";"0,208821";"0,335968"
76;2.217.925;"2,217925";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56803 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"2,217925";"2,426746";;"0,208821";;"0,208703";"0,000118";"-0,208585"
77;2.426.746;"2,426746";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56803 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"2,426746";"2,426864";;"0,000118";;"-0,019742";"0,01986";"0,039602"
78;2.426.864;"2,426864";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 72#1] 56803  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"2,426864";"2,446724";;"0,01986";;"0,019682";"0,000178";"-0,019504"
80;2.446.724;"2,446724";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56803 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"2,446724";"2,446902";;"0,000178";;"-0,000762";"0,00094";"0,001702"
81;2.446.902;"2,446902";"192,168,100,98";"104,22,1,235";TCP;54;56803  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"2,446902";"2,447842";;"0,00094";;"-0,041895";"0,042835";"0,08473"
82;2.447.842;"2,447842";"192,168,100,98";"104,22,1,235";TCP;54;"56803  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"2,447842";"2,490677";;"0,042835";;"-0,03585";"0,078685";"0,114535"
83;2.490.677;"2,490677";"192,168,100,98";"104,22,1,235";TCP;66;56804  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"2,490677";"2,569362";;"0,078685";;"0,054322";"0,024363";"-0,029959"
84;2.569.362;"2,569362";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56803 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"2,569362";"2,593725";;"0,024363";;"0,023969";"0,000394";"-0,023575"
85;2.593.725;"2,593725";"192,168,100,98";"74,125,68,91";"TLSv1,2";805;Application Data;;;"2,593725";"2,594119";;"0,000394";;"-0,026329";"0,026723";"0,053052"
86;2.594.119;"2,594119";"192,168,100,98";"74,125,68,91";"TLSv1,2";93;Application Data;;;"2,594119";"2,620842";;"0,026723";;"0,02647";"0,000253";"-0,026217"
87;2.620.842;"2,620842";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56804 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"2,620842";"2,621095";;"0,000253";;"-0,000758";"0,001011";"0,001769"
88;2.621.095;"2,621095";"192,168,100,98";"104,22,1,235";TCP;54;56804  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"2,621095";"2,622106";;"0,001011";;"-0,142155";"0,143166";"0,285321"
89;2.622.106;"2,622106";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"2,622106";"2,765272";;"0,143166";;"0,128936";"0,01423";"-0,114706"
91;2.765.272;"2,765272";"192,168,100,98";"74,125,68,119";TCP;55;56446  >  443 [ACK] Seq=1 Ack=1 Win=2051 Len=1 [TCP segment of a reassembled PDU];;;"2,765272";"2,779502";;"0,01423";;"-0,031001";"0,045231";"0,076232"
92;2.779.502;"2,779502";"74,125,68,119";"192,168,100,98";TCP;66;443  >  56446 [ACK] Seq=1 Ack=2 Win=443 Len=0 SLE=1 SRE=2;;;"2,779502";"2,824733";;"0,045231";;"-0,134242";"0,179473";"0,313715"
93;2.824.733;"2,824733";"192,168,100,98";"74,125,68,91";TCP;844;"[TCP Retransmission] 56441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=4134 Len=790";;;"2,824733";"3,004206";;"0,179473";;"0,118877";"0,060596";"-0,058281"
95;3.004.206;"3,004206";"192,168,100,98";"104,22,1,235";TCP;372;"[TCP Retransmission] 56804  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131584 Len=318";;;"3,004206";"3,064802";;"0,060596";;"0,048958";"0,011638";"-0,03732"
96;3.064.802;"3,064802";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56804 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"3,064802";"3,076440";;"0,011638";;"0,009885";"0,001753";"-0,008132"
97;3.076.440;"3,076440";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"3,076440";"3,078193";;"0,001753";;"-0,049513";"0,051266";"0,100779"
98;3.078.193;"3,078193";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"3,078193";"3,129459";;"0,051266";;"0,042331";"0,008935";"-0,033396"
99;3.129.459;"3,129459";"192,168,100,98";"74,125,68,91";TCP;844;"[TCP Retransmission] 56441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=4134 Len=790";;;"3,129459";"3,138394";;"0,008935";;"0,008851";"8,4E-05";"-0,008767"
100;3.138.394;"3,138394";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56804 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"3,138394";"3,138478";;"8,4E-05";;"-0,056905";"0,056989";"0,113894"
101;3.138.478;"3,138478";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"3,138478";"3,195467";;"0,056989";;"-0,181726";"0,238715";"0,420441"
102;3.195.467;"3,195467";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56804 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"3,195467";"3,434182";;"0,238715";;"0,238602";"0,000113";"-0,238489"
104;3.434.182;"3,434182";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56804 [FIN, ACK] Seq=1009 Ack=1070 Win=68608 Len=0";;;"3,434182";"3,434295";;"0,000113";;"-0,011873";"0,011986";"0,023859"
105;3.434.295;"3,434295";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 98#1] 56804  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"3,434295";"3,446281";;"0,011986";;"0,011882";"0,000104";"-0,011778"
106;3.446.281;"3,446281";"104,22,1,235";"192,168,100,98";TCP;939;"[TCP Out-Of-Order] 443  >  56804 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=885";;;"3,446281";"3,446385";;"0,000104";;"-0,00035";"0,000454";"0,000804"
107;3.446.385;"3,446385";"192,168,100,98";"104,22,1,235";TCP;54;56804  >  443 [ACK] Seq=1070 Ack=1010 Win=130560 Len=0;;;"3,446385";"3,446839";;"0,000454";;"-0,040079";"0,040533";"0,080612"
108;3.446.839;"3,446839";"192,168,100,98";"104,22,1,235";TCP;54;"56804  >  443 [FIN, ACK] Seq=1070 Ack=1010 Win=130560 Len=0";;;"3,446839";"3,487372";;"0,040533";;"0,022596";"0,017937";"-0,004659"
110;3.487.372;"3,487372";"192,168,100,98";"104,22,1,235";TCP;66;56805  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"3,487372";"3,505309";;"0,017937";;"-0,016328";"0,034265";"0,050593"
111;3.505.309;"3,505309";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56804 [ACK] Seq=1010 Ack=1071 Win=68608 Len=0;;;"3,505309";"3,539574";;"0,034265";;"0,034027";"0,000238";"-0,033789"
112;3.539.574;"3,539574";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56805 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"3,539574";"3,539812";;"0,000238";;"-0,000712";"0,00095";"0,001662"
113;3.539.812;"3,539812";"192,168,100,98";"104,22,1,235";TCP;54;56805  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"3,539812";"3,540762";;"0,00095";;"-0,049779";"0,050729";"0,100508"
114;3.540.762;"3,540762";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"3,540762";"3,591491";;"0,050729";;"0,033349";"0,01738";"-0,015969"
115;3.591.491;"3,591491";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56805 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"3,591491";"3,608871";;"0,01738";;"0,015097";"0,002283";"-0,012814"
116;3.608.871;"3,608871";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"3,608871";"3,611154";;"0,002283";;"-0,048561";"0,050844";"0,099405"
117;3.611.154;"3,611154";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"3,611154";"3,661998";;"0,050844";;"0,050727";"0,000117";"-0,05061"
118;3.661.998;"3,661998";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56805 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"3,661998";"3,662115";;"0,000117";;"-0,049646";"0,049763";"0,099409"
119;3.662.115;"3,662115";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"3,662115";"3,711878";;"0,049763";;"0,03016";"0,019603";"-0,010557"
120;3.711.878;"3,711878";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56805 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"3,711878";"3,731481";;"0,019603";;"0,0031";"0,016503";"0,013403"
121;3.731.481;"3,731481";"192,168,100,98";"74,125,68,91";TCP;844;"[TCP Retransmission] 56441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=4134 Len=790";;;"3,731481";"3,747984";;"0,016503";;"0,014556";"0,001947";"-0,012609"
122;3.747.984;"3,747984";"74,125,68,91";"192,168,100,98";TCP;54;443  >  56441 [ACK] Seq=1 Ack=791 Win=1640 Len=0;;;"3,747984";"3,749931";;"0,001947";;"0,001947";0;"-0,001947"
123;3.749.931;"3,749931";"74,125,68,91";"192,168,100,98";"TLSv1,2";93;Application Data;;;"3,749931";"3,749931";;0;;"-0,000133";"0,000133";"0,000266"
124;3.749.931;"3,749931";"74,125,68,91";"192,168,100,98";"TLSv1,2";125;Application Data;;;"3,749931";"3,750064";;"0,000133";;"-0,016916";"0,017049";"0,033965"
125;3.750.064;"3,750064";"192,168,100,98";"74,125,68,91";TCP;54;56441  >  443 [ACK] Seq=791 Ack=111 Win=4134 Len=0;;;"3,750064";"3,767113";;"0,017049";;"0,017049";0;"-0,017049"
126;3.767.113;"3,767113";"74,125,68,91";"192,168,100,98";"TLSv1,2";85;Application Data;;;"3,767113";"3,767113";;0;;"-0,000198";"0,000198";"0,000396"
127;3.767.113;"3,767113";"74,125,68,91";"192,168,100,98";"TLSv1,2";93;Application Data;;;"3,767113";"3,767311";;"0,000198";;"-0,000574";"0,000772";"0,001346"
128;3.767.311;"3,767311";"192,168,100,98";"74,125,68,91";TCP;54;56441  >  443 [ACK] Seq=791 Ack=181 Win=4133 Len=0;;;"3,767311";"3,768083";;"0,000772";;"-0,017834";"0,018606";"0,03644"
129;3.768.083;"3,768083";"192,168,100,98";"74,125,68,91";"TLSv1,2";93;Application Data;;;"3,768083";"3,786689";;"0,018606";;"-0,125835";"0,144441";"0,270276"
130;3.786.689;"3,786689";"74,125,68,91";"192,168,100,98";TCP;56;443  >  56441 [ACK] Seq=181 Ack=830 Win=1640 Len=0;;;"3,786689";"3,931130";;"0,144441";;"0,144306";"0,000135";"-0,144171"
131;3.931.130;"3,931130";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56805 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"3,931130";"3,931265";;"0,000135";;"-0,014986";"0,015121";"0,030107"
132;3.931.265;"3,931265";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 117#1] 56805  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"3,931265";"3,946386";;"0,015121";;"0,01491";"0,000211";"-0,014699"
